@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
37,'2023/11/29 08:57:08:840',1,369.847473,223.066895,363.844238,174.260544,299.578491,178.350449,316.835022,169.556824,337.140381,176.32373,318.647339,181.265793,383.465027,174.633163,402.216736,166.411133,418.138184,173.425552,401.869934,177.929047,321.342438,292.41748,346.605499,269.958618,388.566864,266.949036,408.803589,286.517822,390.927734,337.88208,345.241882,340.482422,1
38,'2023/11/29 08:57:08:895',1,369.847473,223.066895,363.844238,174.260544,299.578491,178.350449,316.835022,169.556824,337.140381,176.32373,318.647339,181.265793,383.465027,174.633163,402.216736,166.411133,418.138184,173.425552,401.869934,177.929047,321.342438,292.41748,346.605499,269.958618,388.566864,266.949036,408.803589,286.517822,390.927734,337.88208,345.241882,340.482422,1
39,'2023/11/29 08:57:08:905',1,369.658661,222.824402,363.741364,174.143341,299.402557,178.48996,316.693909,169.716278,337.008728,176.369843,318.475433,181.363449,383.478943,174.6418,402.252991,166.479614,418.23584,173.469131,401.932648,177.969452,321.025452,292.6203,346.334106,270.012085,388.408569,267.010162,408.73407,286.723572,390.770294,337.985657,344.953583,340.587219,1
40,'2023/11/29 08:57:08:931',1,371.156097,336.200256,367.966125,313.528931,328.804291,309.396729,338.573517,307.922302,351.616974,310.34198,341.857605,311.970032,382.463135,310.018066,394.950867,307.030212,405.117828,308.008575,392.816162,311.128113,344.1185,347.180664,359.156464,346.708191,385.540771,345.910645,400.535339,345.347595,386.219177,353.026367,360.675354,353.786743,1
41,'2023/11/29 08:57:08:931',1,369.658661,222.824402,363.741364,174.143341,299.402557,178.48996,316.693909,169.716278,337.008728,176.369843,318.475433,181.363449,383.478943,174.6418,402.252991,166.479614,418.23584,173.469131,401.932648,177.969452,321.025452,292.6203,346.334106,270.012085,388.408569,267.010162,408.73407,286.723572,390.770294,337.985657,344.953583,340.587219,1
42,'2023/11/29 08:57:08:931',1,371.156097,336.200256,367.966125,313.528931,328.804291,309.396729,338.573517,307.922302,351.616974,310.34198,341.857605,311.970032,382.463135,310.018066,394.950867,307.030212,405.117828,308.008575,392.816162,311.128113,344.1185,347.180664,359.156464,346.708191,385.540771,345.910645,400.535339,345.347595,386.219177,353.026367,360.675354,353.786743,1
43,'2023/11/29 08:57:08:957',1,369.22287,221.996246,363.048248,174.179382,298.876404,179.246078,316.099609,170.464828,336.362976,176.730331,317.93573,181.843704,382.817566,174.702423,401.467102,166.670868,417.475372,173.456024,401.198944,177.901505,320.965698,292.453766,346.066895,269.236603,388.277649,265.984436,408.538208,286.04187,390.769684,338.3302,344.761292,341.1633,1
44,'2023/11/29 08:57:08:971',1,369.50412,223.341003,363.156982,174.710251,299.015656,179.316269,316.167206,170.6409,336.451172,176.830765,318.129181,181.823929,382.704224,174.843307,401.316528,166.885056,417.210938,173.547379,400.961304,177.89621,321.068848,292.697906,346.307587,270.141876,388.629517,266.797791,408.905151,286.061615,391.096619,338.16449,345.078979,341.088348,1
45,'2023/11/29 08:57:08:994',1,369.50412,223.341003,363.156982,174.710251,299.015656,179.316269,316.167206,170.6409,336.451172,176.830765,318.129181,181.823929,382.704224,174.843307,401.316528,166.885056,417.210938,173.547379,400.961304,177.89621,321.068848,292.697906,346.307587,270.141876,388.629517,266.797791,408.905151,286.061615,391.096619,338.16449,345.078979,341.088348,1
46,'2023/11/29 08:57:09:006',1,369.611206,223.432358,363.142151,174.762436,298.909393,179.439606,316.052032,170.707016,336.38855,176.855209,318.072876,181.882446,382.694977,174.775726,401.315308,166.77417,417.225189,173.405945,400.950684,177.760986,321.278381,293.230347,346.525238,270.49234,388.804565,267.015198,409.101227,286.30838,391.328613,338.449921,345.326569,341.496399,1
47,'2023/11/29 08:57:09:028',1,369.611206,223.432358,363.142151,174.762436,298.909393,179.439606,316.052032,170.707016,336.38855,176.855209,318.072876,181.882446,382.694977,174.775726,401.315308,166.77417,417.225189,173.405945,400.950684,177.760986,321.278381,293.230347,346.525238,270.49234,388.804565,267.015198,409.101227,286.30838,391.328613,338.449921,345.326569,341.496399,1
48,'2023/11/29 08:57:09:039',1,369.714203,223.502014,363.354309,174.810913,299.197876,179.270309,316.311249,170.602966,336.615936,176.854752,318.291992,181.841522,382.906067,175.005692,401.525024,167.12886,417.380005,173.82991,401.142761,178.11525,321.616882,293.403198,346.81427,270.848267,388.826477,267.485046,409.097839,286.754578,391.290497,337.750366,345.638397,340.67627,1
49,'2023/11/29 08:57:09:061',1,369.714203,223.502014,363.354309,174.810913,299.197876,179.270309,316.311249,170.602966,336.615936,176.854752,318.291992,181.841522,382.906067,175.005692,401.525024,167.12886,417.380005,173.82991,401.142761,178.11525,321.616882,293.403198,346.81427,270.848267,388.826477,267.485046,409.097839,286.754578,391.290497,337.750366,345.638397,340.67627,1
50,'2023/11/29 08:57:09:072',1,370.03894,222.529037,363.715637,174.39595,299.559021,178.930801,316.684143,170.304169,336.916412,176.555801,318.585236,181.550308,383.12207,174.850937,401.669067,167.110413,417.465027,173.879761,401.340698,178.106796,321.917603,292.694733,347.086426,270.021545,388.693542,266.846924,408.753479,286.440338,391.085022,336.595001,345.856506,339.351624,1
51,'2023/11/29 08:57:09:127',1,370.03894,222.529037,363.715637,174.39595,299.559021,178.930801,316.684143,170.304169,336.916412,176.555801,318.585236,181.550308,383.12207,174.850937,401.669067,167.110413,417.465027,173.879761,401.340698,178.106796,321.917603,292.694733,347.086426,270.021545,388.693542,266.846924,408.753479,286.440338,391.085022,336.595001,345.856506,339.351624,1
